order,station,post,lat,long,lat
269,小菅,120-0015,足立区足立２丁目,139.812935,35.759039
270,五反野,120-0015,足立区足立３丁目,139.809643,35.765852
271,堀切,120-0023,足立区千住曙町,139.817727,35.742977
272,牛田,120-0023,足立区千住曙町,139.811816,35.744555
273,京成関屋,120-0023,足立区千住曙町２-２,139.81183,35.744008
274,北千住,120-0026,足立区千住旭町,139.804872,35.749677
275,北千住,120-0026,足立区千住旭町,139.805564,35.749891
276,北千住,120-0026,足立区千住旭町,139.804276,35.748916
277,北千住,120-0026,足立区千住旭町,139.804276,35.748916
278,北千住,120-0026,足立区千住旭町,139.805092,35.74949
279,千住大橋,120-0038,足立区千住橋戸町１１-１,139.796934,35.74243
280,足立小台,120-0046,足立区小台１-２０-１,139.770381,35.754658
281,六町,121-0073,足立区六町四丁目,139.821816,35.784963
282,竹ノ塚,121-0813,足立区竹の塚６丁目,139.790788,35.794368
283,舎人,121-0831,足立区舎人１-１６-１５,139.770108,35.8057
284,見沼代親水公園,121-0831,足立区舎人２-２１-１３,139.770719,35.814544
285,舎人公園,121-0837,足立区舎人公園１-１０,139.770183,35.79623
286,大師前,123-0841,足立区西新井１-３-１,139.781647,35.778989
287,西新井,123-0843,足立区西新井栄町２丁目,139.790372,35.777323
288,西新井,123-0843,足立区西新井栄町２丁目,139.790372,35.777323
289,梅島,123-0851,足立区梅田７丁目,139.797916,35.772437
290,谷在家,123-0863,足立区谷在家３-２０-２３,139.770043,35.788774
291,江北,123-0872,足立区江北４-３０-２７,139.770306,35.774021
292,西新井大師西,123-0872,足立区江北６-３０-２３,139.770094,35.781505
293,扇大橋,123-0873,足立区扇２-２５-７,139.770808,35.763897
294,高野,123-0873,足立区扇２-４５-１,139.770679,35.768359
295,お花茶屋,124-0005,葛飾区宝町２-３７-１,139.83988,35.747585
296,堀切菖蒲園,124-0006,葛飾区堀切５-１-１,139.827545,35.747649
297,四ツ木,124-0011,葛飾区四つ木１-１-１,139.834918,35.731962
298,京成立石,124-0012,葛飾区立石４-２４-１,139.848558,35.738281
299,新小岩,124-0024,葛飾区新小岩１丁目,139.857777,35.716903
300,新小岩,124-0024,葛飾区新小岩１丁目,139.857777,35.716903
